Month,Date,Gear Type,Sex,Shell_Height,Total_Viscera_Weight,Meat_Weight,Gonad_Weight,GSI
8,2023/08/14,C,F,110,78.91,25.12,11.66,14.776
8,2023/08/14,C,F,114,95.81,32.32,14.88,15.531
8,2023/08/14,C,F,113,94.34,32.65,14.61,15.487
8,2023/08/14,N,M,117,119.91,41.18,19.94,16.629
8,2023/08/14,N,F,108,102.37,43.9,7.49,7.317
8,2023/08/14,N,F,109,112.41,42.84,19.42,17.276
8,2023/08/14,N,F,124,163.16,61.14,26.36,16.156
8,2023/08/14,N,M,97,78.29,19.85,18.77,23.975
8,2023/08/14,N,M,108,105.5,36.23,18.22,17.270
8,2023/08/14,N,F,107,99.76,30.06,21.21,21.261
8,2023/08/14,N,M,104,80.46,26.66,17.05,21.191
8,2023/08/14,N,F,103,95.56,30.59,20.51,21.463
8,2023/08/14,N,M,117,131.82,49.13,25.52,19.360
9,2023/09/12,N,M,116,134.02,48.95,23.95,17.870
9,2023/09/12,N,M,112,119.89,42.47,28.52,23.788
9,2023/09/12,N,M,114,89.59,25.17,19.45,21.710
9,2023/09/12,N,M,114,89.8,35.91,5.75,6.403
9,2023/09/12,N,F,105,111.78,40.32,20.46,18.304
9,2023/09/12,N,F,116,114.34,41.81,18.45,16.136
9,2023/09/12,N,F,111,104.96,39.46,13.95,13.291
9,2023/09/12,N,F,100,72.58,22.03,12.93,17.815
9,2023/09/12,C,M,106,79.17,22.94,22.43,28.331
9,2023/09/12,C,M,109,83.07,37.88,3.5,4.213
9,2023/09/12,C,M,104,85.95,22.98,21.84,25.410
9,2023/09/12,C,M,113,114.19,38.41,5.99,5.246
9,2023/09/12,C,M,108,63.43,14.84,14.47,22.813
9,2023/09/12,C,F,127,118.98,42.06,23.94,20.121
9,2023/09/12,C,F,110,73.94,19.52,21.96,29.700
9,2023/09/12,C,F,97,76.06,22.95,19.64,25.822
9,2023/09/12,C,F,105,98.26,22.93,13.1,13.332
9,2023/09/12,C,F,118,47.9,28.88,20.77,43.361
9,2023/09/12,W,M,116,83.54,19.28,21.26,25.449
9,2023/09/12,W,M,113,72.48,22.5,16.74,23.096
9,2023/09/12,W,M,110,71.1,22.73,18.79,26.428
9,2023/09/12,W,M,123,96.78,28,26,26.865
9,2023/09/12,W,M,120,87.54,24.32,23.4,26.731
9,2023/09/12,W,F,107,47.03,16,3.9,8.293
9,2023/09/12,W,F,116,94.23,31.81,23.48,24.918
9,2023/09/12,W,F,100,57.61,16.91,15.74,27.322
9,2023/09/12,W,F,115,79.49,30.5,15.85,19.940
9,2023/09/12,W,F,118,81.11,24.32,18.92,23.326
10,2023/10/12,N,M,108,84.74,27.36,6.04,7.128
10,2023/10/12,N,M,113,55.25,31.56,22,39.819
10,2023/10/12,N,M,116,100.06,31.9,15.18,15.171
10,2023/10/12,N,M,110,102.43,40.22,10.07,9.831
10,2023/10/12,N,M,116,101.86,34.57,6.42,6.303
10,2023/10/12,N,F,107,88.54,33.27,4.95,5.591
10,2023/10/12,N,F,124,107.92,40.47,9,8.340
10,2023/10/12,N,F,120,97.25,30.81,12.39,12.740
10,2023/10/12,N,F,131,170.04,60.17,33.72,19.831
10,2023/10/12,C,M,121,89.92,31.07,12.34,13.723
10,2023/10/12,C,M,104,66.09,23.76,3.62,5.477
10,2023/10/12,C,M,102,61.4,25.83,3.01,4.902
10,2023/10/12,C,M,110,76.16,30.05,5.84,7.668
10,2023/10/12,C,F,106,53.97,21.18,3.01,5.577
10,2023/10/12,C,F,118,76.3,29.78,4.37,5.727
10,2023/10/12,C,F,113,72.5,29.65,2.7,3.724
10,2023/10/12,C,F,122,72.39,25.93,4.62,6.382
10,2023/10/12,C,F,114,67.84,21.62,5.47,8.063
10,2023/10/12,C,F,112,63.95,23.5,2.44,3.815
10,2023/10/12,W,M,106,52.37,17.83,3.47,6.626
10,2023/10/12,W,M,119,69.65,27.53,5.49,7.882
10,2023/10/12,W,M,100,46.32,16.59,5.6,12.090
10,2023/10/12,W,M,98,37.53,14.25,3.96,10.552
10,2023/10/12,W,M,101,67.36,14.57,2.98,4.424
10,2023/10/12,W,F,117,57.37,19.59,4.55,7.931
10,2023/10/12,W,F,94,37.71,12.79,3.6,9.547
10,2023/10/12,W,F,93,31.59,10.1,1.89,5.983
10,2023/10/12,W,F,103,50.98,19.27,2.71,5.316
10,2023/10/12,W,F,112,59.02,21.35,4.22,7.150
